,label,text
29,dress,#اسباب_انتشار_حالات_التحرش اللباس الغير محتشم مخالفة الذوق العام انعدام مفهوم الرجولة عند البعض وطغيان الحياة البهيمية
30,dress,#اسباب_انتشار_حالات_التحرش اللباس الغير محتشم وخروج البنات بدون اهلهم وعدم تربية الاهل من الشباب والبنات
31,dress,#اسباب_انتشار_حالات_التحرش اللباس المفتن
32,dress,#اسباب_انتشار_حالات_التحرش أحد أبرز الأسباب اللباس حتى من يقال عنهن صالحات إلا من رحم ربي لاتقل فتنة عن غيرها من الفاسقات
33,dress,#اسباب_انتشار_حالات_التحرش عدم الاحتشام ف اللباس والمشية تقود للتحرش ..
34,dress,#اسباب_انتشار_حالات_التحرش كما أن الرجل مطالب بغض بصره فالمرأة مطالبة بعدم سرقة ذلك البصر فحشمتها في اللباس و السلوك تقيد ردة فعله
35,dress,#اغتصاب_طفله_بالطايف هل هذه الجريمة جعلتك تقرر تعليم طفلك اللباس الشرعي وتثقيفه عن التحرش
36,dress,#التحرش 12) : وكذلك : 12) اللباس وهو سبب التحرش والتساهل فيه حيث تتفنن بعض البنات باللبس وقد ظهر جزء من مفاتنها وهذا بسبب تساهل بعض الأمهات!
37,dress,#التحرش المرأة إذا صانت نفسها باللباس الشرعى أنا أقول اللباس الشرعي انتبهن وليس المتبرج المخصر فلن يلتفت لها الذئاب البشرية هى مصونة
38,dress,#التحرش_الجنسي سببه الشيطان ولنعرف كيف انظر الى اللباس الغير المحتشم للكبار والصغار أمام المحارم والسواقين مع كثرة الافلام الاباحيه النتيجه؟
39,dress,#التحرش_الجنسي_في_المجتمع 99% وليس 100% من حالات التحرش سببها اللباس غير المحتشم للمراة و 1% مرض نفسي او مجتمعي او اخلاقي ..
40,men,#التحرش_بفتاة_الطائف ويأتي المتخلف برمي السبب على اللباس والأهل وهل الموال اللي ما يقضي إلا بـ #قانون_التحرش التخلف والجهل يُعارض ذلك ...
41,men,#التحرش_بفتاة_الطائف يجب تنظيف العقول قبل الحكم ان كان مقياس الناس هو اللباس و ليس،احقر من متحرش سوى من يبرر له ذلك pic.twitter.com/e3WCCW1wqq
42,dress,#التحرش_داخل_الحرم_برجل_شيعي هذا شوه سمعت المسلمين لم يحترم المكان ولا اللباس ولا قدسية بيت الله بغض النظر عن المذاهب شخص لابد ان يحاكم
43,dress,#التحرش_سببه_البنات_ولا_الشباب 1السبب اللباس الغير محتشم 2لبس العبايات الفاتنه والضيقه 3 ضعف الوازع الديني 4عدم الخوف من الله *****
44,dress,#التحرش_سببه_البنات_ولا_الشباب ١ : ضعف الإيمان ٢ : التربية ٣ : إتباع النظرة ٤ : الإختلاط ٥ : اللباس ٦ : رفقاء السوء ٧ : الشيطان وغيرها..
45,dress,#التحرش_سببه_البنات_ولا_الشباب البنات، بسبب اللباس
46,dress,#التحرش_سببه_البنات_ولا_الشباب السبب الأول ضعف الإيمان ومراقبة الخالق ثم اللباس الفاتن للبنات وبالنسبة للشباب عدم غض البصر فالسبب مشترك
47,dress,#التحرش_سببه_البنات_ولا_الشباب السبب هو اللباس مثلاً العبايه المخصره وبعض النقابات وكحل العيون لو ان البنت م تفعل كل م سبق محد معترض لها
48,dress,#التحرش_سببه_البنات_ولا_الشباب الفتنه في اللباس من ناحية البنات ومن ناحية الشباب تعرفون الاسباني مايفوت شيء
49,dress,#التحرش_سببه_البنات_ولا_الشباب اللباس السيء
50,men,#التحرش_سببه_البنات_ولا_الشباب انا اتوقع التحرش سببه الشباب اللباس حريه شخصيه وهناك نساء ملتزمات ومحجبات يتعرضن للتحرش التحرش خلل في الشباب
51,dress,#التحرش_سببه_البنات_ولا_الشباب سبب التحرش هو اللباس والهيئه فلبس البنت مخصر وضيق يخلي الشباب يتحرشون فيها ولو انها محتشمها محد قربها.
52,dress,#التحرش_سببه_البنات_ولا_الشباب سببه البنات فلو أن البنت إلتزمت بالزي أو اللباس المحتشم لما تجرأ هذا الإمعه على التحرش بها
53,dress,#التحرش_سببه_البنات_ولا_الشباب كلاهما سبب مادام هناك اغراءات ومن اللباس الفاتن من كلاالجنسين مما يدعي الى حاله الاعجاب وبالتالي الى التنكس
54,dress,#التحرش_سببه_البنات_ولا_الشباب وأيضا سبب تحرش البنات بالشباب اللباس والهيئه فلو إنه مقصر ثوبه مثلاً ومطلق لحيته مافيه أمل بنت تتحرش فيه.
55,dress,#المطلق_العبايه_غير_الزاميه لكن ع المرأه المسلمه التقيه  ان تدرك حدود اللباس الذي امر الله به. اما لباس اليوم الذي نراه اليوم من قصة شعر حاسره ومكياج فاقع واللباس الذي يظهر تكاسيم الجسم وبالوان ملفته خارج تماماً ع وصف القران للإحتشام والستر - ولا تاتي بعدها لتتشكى من التحرش
56,dress,#اناقتي_بالعيد_بحشمتي من أين حل علينا بلاء التحرش بالمحارم لذلك أسباب يأتي على رأسها التهاون في اللباس أمام المحارم والله المستعان
57,men,#انتكاسة_التحرش_بالمحارم اي متخلف يقول أن السبب هو اللباس اقوله لو أمك لبست لباس شفاف هل تتحرش بها ؟
58,dress,#اوقفوا_التحرش_بالاطفال للوالدين خافوا الله في لباس ابنائكم كم تحرشه سببه اللباس
59,dress,#أسباب_إنتشار_ظاهرة_التحرش اللباس العاري والفاضح ...
60,dress,#أسباب_إنتشار_ظاهرة_التحرش اللباس المحتشم والعفةة
61,dress,#بإيش_بعتيها ربي ابنتك على الدين والخوف من الله ومن يوم القيامة اﻵ تخافين على ابنتك من التحرش في صغرها فمن أسبابه اللباس العاري
62,men,#تحرش_بفتاة_في_الطائف البعض يظن أن التحرش سببه اللباس ، وفي هذا الڤيديو تأكيد بأن اللباس لا دخل له ، وإنما العقلية العربية المنحطه !
63,men,#تحرش_بفتاة_في_الطائف ياما قالوا المتخلفين انه الفتيات سبب التحرش بهن بسبب اللباس و ما شابههاهي فتاة طائف مكتسحة بالسواد و تحرش بها الذكور
64,dress,#تحرش_بفتاتين_بجدة الحل إقرار نظام التحرش وشرح بنوده للمجتمع توضيح اللباس المحتشم للجنسين في الأماكن العامة بشكل رسمي من غير تشدد او تهاون
65,men,#تحرش_بفتاتين_بجدة مرة اخرى يتأكد لنا ان اللباس لا علاقة له بالتحرش التحرش مرض
66,men,#تحرش_بفتاتين_بجده ارى التشنيع على اللباس اكثر من التشنيع على المتحرش وهذا من اهم اسباب استمرار وتكرار حالات التحرش. يرى المتحرش الحق معه
67,men,#تحرش_بفتاتين_بجده لا لتبرير التحرش فهذا فعل البهائم،وكذلك على كل فتاة أن لا تخضع بالقول أو الفعل أو اللباس حتى لا يطمع الذي في قلبه مرض ..
68,men,#تحرش_بفتاتين_بجده لو تمشي بافضح اللباس مايحق لاحد يتعرض لها الا المسؤول فقط الشارع حق عام مايحق لاحد التحرش بحجة الفتاه مالبست او اي عذر
69,dress,#تحرش_بفتاه_متبرجه_اعيدو_الهييه اولا من خرج اخر الليل بهذا اللباس يستاهل ثانيا التحرش لابد من وضع قانون له ثالثا الهيئة يجب ان تقنن.
70,dress,#تحرش_بفتاه_متبرجه_اعيدو_الهييه بدون قوانين ما بتفيد لا الهيئة ولا غيرها. قوانين تجرّم التحرش، بصيغة محكمة. وقوانين تحدد شروط اللباس اللائق.
71,dress,#تحرش_شباب_بفتيات_الشرقية سبب من أسباب التحرش عدم الحياء من الجنسين وخصوصاً المرأة وترك اللباس الإسلامي اللذي يزيدها احتراماً في مجتمعها
72,dress,#تحرش_شباب_بفتيات_الشرقية لا نغفل أن البنت يجب أن تكون محتشمة اللباس لكي تشعل شرارة التحرش .. سقوط جماعي للبنات والشباب في ظل غياب الرادع
73,dress,#تحرش_شباب_بفتيات_بالشرقية أصحابنا في الخارج لا يستطعون التحرش وهم في أمكنة لا يرتدى فيها اللباس المحتشم بكثرة ، فعجبا لمن يبرر لهم !
74,men,#حرية_اللباس_ليست_جريمة بالنسبة للي يطالبون بعقاب المودل خلود ويرفضون قانون التحرش pic.twitter.com/RcxvnUrFy0
75,dress,#حريه_اللباس_ليست_جريمه ابد تلبس ما تشاء لكن اذا طلعت برى وانفلتوا عليها الخرفان لاتزعجنا بقانون التحرش والصياح والنياح تتحمل اللي يصير
76,dress,#حريه_اللباس_ليست_جريمه اجل التحرش ليست جريمه
77,dress,#حريه_اللباس_ليست_جريمه اظهري لناس مفاتن جسمك ،،، و عندما يتم التحرش فيك من قبل اغبياء مثل حضرتك. اجعلي المجتمع المحافظ عدوك ؟
78,men,#حريه_اللباس_ليست_جريمه اغلب التحرش يحدث في الاماكن العامه مع هذي الاشكال المتخلفه يحسبون إن الحضاره بهذا المظهر
79,dress,#حريه_اللباس_ليست_جريمه الا فاحشه ونشر الفساد ف البلد واغلب الغربيين قالو كثر التحرش والاغتصاب عندنا بسبب ان المراءه لبسها غير محتشم
80,dress,#حريه_اللباس_ليست_جريمه التحرش واجب وطني وسمعوني صياحكم ياليبراليات
81,dress,#حريه_اللباس_ليست_جريمه الصين ابتكرت جوارب شعر للنساءضد التحرش وامريكا ابتكرت سروال صاعق ضد الاغتصاب تستري واحمدي ربك السعيد من اتعض بغيره. pic.twitter.com/eZGCvK1CrF
82,dress,#حريه_اللباس_ليست_جريمه اللباس صار اخطر من جرائم التعنيف واكبر من جرائم الاعتصاب و التحرش عند مجتمعنا .. من خلال اللي نشوفه في الهاشتاق
83,dress,#حريه_اللباس_ليست_جريمه اللبس الغير محتشم سبب في التحرش والاغتصاب حتى في المحارم وقد سمعنا قصص زنا محااااارم بسبب اللبس الخالع
84,dress,#حريه_اللباس_ليست_جريمه المكسيك تضع حافلات مخصصة للنساء فقط بسبب كثرة التحرش والإعتداء الجنسي الذي كان سببه الرئيسي حرية اللباس والإختلاط pic.twitter.com/oh7BmnbmQr
85,men,#حريه_اللباس_ليست_جريمه إذا على اللبس الله اللي بيحاسب لكن الجريمه هو التحرش اللي إلى الآن ما فيه اي عقوبه
86,dress,#حريه_اللباس_ليست_جريمه تخرج عارية ضاربة بالدين والعادات والاعراف والذوق العام والاداب العامة عرض الحائط وتشتكي من التحرش؟ كويس اذا ماحملتي
87,men,#حريه_اللباس_ليست_جريمه خلوكم من ذي ماحد تكلم ع التحرش الجماعي اللي صار بالراشد مول! وماطالبتو بمعاقبتهم
88,dress,#حريه_اللباس_ليست_جريمه سبحان الله م شفنا هشتاقات لما الدول الغربيه رفضت الحجاب وغير كذا م استفادو شي غير انو ارتفاع في نسبة التحرش الجنسي
89,dress,#حريه_اللباس_ليست_جريمه طول الايام اسابقه الجواري و نسويات يحاربون الهئيه ويطالبون بقانون ضد التحرش حتى تضمن اذا تعرو من الملابس محد يمنعه
90,dress,#حريه_اللباس_ليست_جريمه فإذاً حرية التحرش ليست جريمه أيضاً
91,men,#حريه_اللباس_ليست_جريمه لازم نعرف ان الستر مب بالغصب وبالجبر وقانون التحرش ضروري لحماية بناتنا من الشهوانين والسرابيت والخرفان نبي السلامه.
92,dress,#حريه_اللباس_ليست_جريمه لايجوز للمرأة اظهار مفاتنها امام الرجال وبعدين خطر عليها من التحرش الجنسي لاسمح الله
93,men,#حريه_اللباس_ليست_جريمه لست ضد أو مع هل منعت العباية التحرش والفساد؟ بصراحة إذا سافرت اشوف شبابنا أكثر ناس تحترم الأجنبية الغير محجبة.
94,dress,#حريه_اللباس_ليست_جريمه ماذا استفادت العاريات غير زيادة نسبة التحرش والاعتداء والاغتصاب وأولاد الزنا والجريمه في المجتمعات الغربية روح مووت
95,dress,#حريه_اللباس_ليست_جريمه وحرية التحرش فيكي ليست جريمه امسكو عنزكم تيسنا مايجيكم بعض النساء وهم قليل تعتقد اذا فسخت ثيابها هي مطوره وكول
96,dress,#حريه_اللباس_ليست_جريمه يبون محد يتحرش فيهم بس يبون يتفصخون يعني تعرفون ان من مقتضيات التعري التحرش بس الدين بهواكم تاخذون منه اللي يجوزلكم
97,dress,#حفيدات_الفاروق من أين حل علينا بلاء التحرش بالمحارم لذلك أسباب يأتي على رأسها التهاون في اللباس أمام المحارم والله المستعان
98,dress,#حقيقه_صدقيه أختي البنت الخليجية :- ​إذا أصبح اللباس الضيق حرية شخصية ..  فــ التحرش واجب وطـنـي على الشاب الخليجي 
99,dress,#حقيقه_صدقيه أختي البنت الخليجية :- ​إذا أصبح اللباس الضيق حرية شخصية ..  فــ التحرش واجب وطـنـي على الشاب الخليجي 
100,men,#حليمه_بولند_تتعرض_للتحرش شرعنة التحرش بدعوى ان اللباس غير محتشم مفهوم خاطى فانت مسلم مامور بغض النظر .واللبس الفاضح ليس رخصة لك
101,dress,#خراب_دره_العروس قانون التحرش تستطيع المرأة أن تجعله قيد التنفيذ ، ومفعل ، عندما تلبس اللباس الشرعي وتبتعد عن التعطر، عندالخروج من بيتها ، وعدم مخالطة الذكور لغير ضرورة ماسة ، فلن ترى وتسمع الا مايسرها.
102,men,#خمسيني_يتحرش_بطفلة تبقى حجتهم و الخطأ في نظرهم على لباس الضحية و كأن اللباس هو الجريمة و التحرش هو الجزاء العادل. #عقلانيون #حقوق_المرأة
103,men,#ذكور_التحليه_المتحرشين ليس هناك علاقه بين التحرش واللباس اللباس=حريه شخصيه التحرش=اعتداء على الاخرين
104,dress,#ذكور_التحليه_المتحرشين يُحد من التحرش: عودةالهيئة اللباس الساتر ومحاسبة مخالفته منع الاختلاط مرافقة الولي البعد عن الازدحام
105,dress,#ذكور_التحليه_المتحرشين ياجماعة : اللباس سبب من أسباب التحرش في كل دول العالم اذا كان اللباس مغري جاء التحرش وإذا كان محتشم لايكون تحرش .
106,dress,#زمن_القابض_على_الجمر ١من أين حل علينا بلاء التحرش بالمحارم لذلك أسباب يأتي على رأسها التهاون في اللباس أمام المحارم والله المستعان
107,men,#ساره_الودعاني_تلوم_ضحيه_التحرش حتى في الدول المتحررة واللي مافيها قوانين ل اللباس يعد التحرش جرم ويعاقب عليه المتحرش دون تبرير لفعلته
108,dress,#سعوديات_نطلب_اسقاط_الولايه393 اولاًاسقاط الولايه ثم اسقاط الحجاب ثم حريت اللباس تلبس قصيروعاري عادي تقولك فيه قنون التحرش وهم هذااللي يبونه pic.twitter.com/UJ0UxvOqSr
109,men,#سعوديات_نطلب_اسقاط_الولايه668 بعد قيادة المرأة للسيارة بقى : -سقوط الولايه -فتح المزيد من التخصصات التي كانت حكر للذكور -حريه في اللباس بدون فرض عادات بدائيه -تجريم اهانه المرأة في المنابر والمناهج -قانون صارم لمنع التحرش وبس
110,dress,#شاب_يتحرش_بطفله من مسببات التحرش اللباس الذي يلبسه الولد اوالبنت فيظهر مفاتنه وعدم مراقبه الأبناء كذلك عدم الدخول في نفسيه الطفل
111,dress,#عقاب_تقترحه_للمتحرشين أولا يكون فيه حد أدنى في اللباس والتزين بالأماكن العامة بحيث تمنع مسبب التحرش،ثم يجي العقاب بالجلد على رؤوس الأشهاد
112,dress,#عقاب_تقترحه_للمتحرشين. لولا المطارات ما وقعت الطائرات حافظو على أبنائكم وبناتكم. فبعض اللباس والتسريحات وكذا تركهم وحدهم يسبب التحرش
113,dress,#فتاه_تهاجم_متحرش_بجده والله ماكثر التحرش الا لسببين الاول عدم لبس اللباس المحتشم ثانياً خروج المرأة بدون محرم اصلح الله الشباب والفتيات.
114,men,#فراس_السواح لأمثال هالمُغتصب.الحجاب يعني المرأةجهازجنسي عضوي متحركعورة=رُفض لهذا. وكلامك ياحقيرتحرش جنسي لفظي(اغتصاب لفظي)مرفوض أيضا.حظرالحجاب لا يعني السماح لكم باغتصاب النساءلفظياوجسديا يا معاتيه.اللباس دون حشمةوحجاب لايعني حق التحرش اللفظي&اللمس&الاغتصاب لا تحلموا ستسجنوا pic.twitter.com/dVU1jlAge1
115,dress,#كلمه_للبس_البنات يا بنات ارتدن اللباس الساتر يقيكن من شر التحرش
116,dress,#كيف_نحمي_أبناءنا_من_التحرش من الآداب الداعمة لرباعية الحماية: ١- آداب الاستئذان ٢- آداب الحمام ٣- آداب اللباس ٤- آداب الحجاب
117,dress,#لا_تلمسني لحماية أبنائنا من التحرش لابد من الباسهم اللباس الساتر اللهم احمي أبنائنا
118,dress,#لايكاد_يسلم_لباس_امرأة_من_مخالفة من أين حل علينا بلاء التحرش بالمحارم لذلك أسباب يأتي على رأسها التهاون في اللباس أمام المحارم والله المستعان من ترونها في الأسواق والطرقات قد أبرزت مفاتنها هي خريجة مدرسة التساهل في اللباس في بيتها. #حسنه_تنفعك
119,dress,#ماعقوبه_التحرش_برايك السالفه ماهي سالفه عقوبه ماصارعندنا رجال يهتمون بااهلهم وخواتهم والستر مافيه اللباس هوينادي والله المحتشمه وصوتها ماهوعالي عندالرجال اتحدى احديتحرش فيها بالعكس يحترمونها اكثر
120,dress,#ماعقوبه_التحرش_برايك بعض البنات هداهن الله يلبسن اللباس الفاتن الضيق نصيحة للأمهات قبل الأباء انتبهوا لبناتكم في اللبس الله الله في الأحتشام وترك الزينه في المولات والمنتزهات.
121,men,#ماعقوبه_التحرش_برايك دائما ماتطرح جدلية الحرية الشخصية في اللباس الملائم للجنسين في الأماكن العامة رفقة الحديث عن التحرش والحقيقة أن المتحرش شخص مريض علاجه وردعه أهم من فرضية تحاشي أفعاله والاحتشام يقلل من حدوث التحرش لكنه لا يعالج المرض لان التحرش يطال حتى الأطفال
122,dress,#ماعقوبه_التحرش_برايك قبل العقوبه ، اللباس المحتشم يبعد عنك التحرش غالبآ
123,dress,#ماعقوبه_التحرش_برايك قبل ان تصدر احكامك وتطالب بعقوبة المتحرشين ، عليك ان تنبه عن جرم التحرش ، وان( تدعوه ) الى غض البصر (وتدعوها ) ترتدي اللباس المحتشم ، بعدها لن تحتاج من تريد معاقبته ...
124,men,#مش_حريه_انك تضايق الفتايات المراهقات بسبب اللباس او كشف الوجه ولا تحكم عليهن وتقذف بهم #انا_ضد_التحرش الحرية للجميع pic.twitter.com/RfXAPYunjy
125,dress,#مضاربه_فتاه_مع_شباب أولاً غلط إن البنت تخرج فالشارع بهذا اللباس لو كانت محتشمة لن يستطيع أحد التحرش بها أو يضع عينه في عينها ورغم ذلك حتى لو البنت تبرجت ووو ،ما يحلل للشاب الإقتراب منها يغض بصره ويمشي في طريقه ولا يلتفت لها ،هي أُمرت بالستر و أنت أُمرت بغض البصر فكلاهما أخطأ !
126,dress,#مطلوب_محاكمه_مودل_خلود هذه الفتاة لو تم التحرش بها وهي بهذا اللباس في بلد يمنع التعري من سيكون المخطئ ؟ يجب محاسبتها لان الخطأ يجر خطأ
127,men,#ملتقى_ظاهره_التحرش رُبما نختلف على اللباس اللائق في الأماكن العامة، لكن لا يمكن الاختلاف إنّ التحرش سلوك قذر، ولا يمكن تبريره إطلاقاً.
128,dress,#ملتقي_ظاهره_التحرش سبب التحرش هو اللباس غير المحتشم لبعض النساء، لانها تغري الشباب بلبسها وعطرها وتغنجها، اما لو كانت بكامل حجابها بدون ان تظهر مفاتنها، لن ينظر لها احد
129,dress,#ملتقي_ظاهره_التحرش من لم تربى على العفة في بيت اهلها والإحتشام وتخرج من بيتها عارية اللباس اي ضيقة بارزة صدرها ومؤخرتها ووجها ملئ بالزينه ، ف غداً بتظلي لهم مثل الحمام المتنقل يضعون فيه القاذورات ، ولايبون منك غير هذا . إلا من رحم ربي
130,dress,#من_باعك_الفكرة أن اللباس المحتشم للفتاة يمنع الحيوانات من التحرش بها
131,dress,#نظام_مكافحة_التحرش_ضرورة *دعم الهيئة *وضع عقوبات صارمة *اللباس المحتشم حتى لا تعرض نفسها للتحرش..وهذا لايعني ان الغير محتشمة يتحرش بها
132,men,#نقاش24 ليش الدول العربيه اللي اللباس الشرعي المحتشم هو الزِّي الطاغي ينتشر بها التحرش؟مش التربيه هي المشكله،قوانين الدول العربيه هي السبب
133,men,#هل_ترضي_ان_يتحرش_باهلك عمر اللباس ما كان سبب في التحرش وانما السبب الحقيقي في العقول
134,dress,#هل_تقبل_ان_يتحرش_باهلك انا برأي اللباس الذي نراه حاليا للبنات هو سبب التحرش. https://twitter.com/hadjaar1990/status/714147867078836225 …
135,dress,(1) فلم #في_الظل فكرته أصيلة (حماية الفتيات من التحرش)؛لكنه وقع في بعض أبرز أسبابه!وهو اللباس والزينة والاختلاط.. @reemaalsmaeil @aboolojain
136,dress,@_a7lah_ تسبة التحرش جائت بعد ما فقدت المرأة إسم اللباس الشرعي وإكتفت به كعاده جاء مايسمى بالتحرش وكلمة تحرش تأتي بعدة أشيء منها اللفظي ١-٤
137,dress,@_aFHD @Nedal_147 الإعجاب الفطري لما يكون اللباس محتشم لا ارى فيه خطأ لما ندخل في لبس مثير للشهوات والغرائز الجنسية دخلنا في التحرش
138,dress,@_majed_q @htksa عندما يسن #قانون_اللباس_المحتشم يصبح #قانون_التحرش_ضرورة وفاعلا
139,dress,@_majed_q @htksa قبل #قانون_التحرش_ضرورة يجب المطالبة بسن #قانون_اللباس_المحتشم فهو السبب الرئيسي للتحرش
140,men,@12_15me86 لم يكن اللباس سببا فنحن نعاني من التحرش بالشباب قبل البنات وبالطفلات قبل الكبيرات فعن اي شماعة يبحثون..!
141,dress,@1aldawood @htksa المال السايب يعلم السرقة والمرأة المتبرجة تدفع للتحرش بها #قانون_اللباس_المحتشم قبل #قانون_التحرش_ضرورة
142,dress,@444hanadi نتكلم بعاميه عن اسباب التحرش بالفتيات ،، اهمها اللباس والرقص والحركات التي تلفت الانتباه ،، يعني الخطأ مشترك بين الطرفين
143,men,@A_Alkanhal @eidbnthani من يبرر التحرش بحجة اللباس ينزع الحانب الإنساني من الرجال و يبقي الجانب الغريزي الحيواني فقط
144,men,@A_Bahaydar تغريدات لاتحمل علماً ولكنها تحمل شرعنة التحرش إذا لم تلزم اللباس الذي نريد.
145,men,@a100001 @Mikhlif التحرش جريمة لا يبررها عدم (حشمة اللباس) ولا يبرر هذا الفعل تحت أية حجة سوى شخص مريض
146,dress,@A5iis سؤال سبب التحرش . ومن الخيارات اللباس غير المحتشم وزعلت لما اختاره فريق منهم بشكل مستفز
147,men,@aaeed1010 التحرش موجود مهما كان اللباس عن تجربة
148,dress,@Abd_NF يعني ، كيف تجمع يا أخي ؛ بين التحرش بهن و قولهم صغيرات ، لا يجتمعان ، ولكن الحل يعاملن معاملة الكبيرات في مسألة اللباس و الرقص .
149,men,@ABDULLAH_FAHD_K @alsamahi1 @srobayan @daghistani جميل إذن اللباس لا دخل له في التحرش الجنسي الا بنسبة ضئيلة جداً هناك مجتمعات بدائية جدا
150,dress,@Abdullhaljedani معاك في المعاقبة ع التحرش لكن العقوبة على اللباس المحتشم هذا شأن اسري اكثر من ان الدوله تهتم له وغيابه هو سبب مثل هالامور
151,dress,@AboShla5Libraly اللباس قد يكون اسلوب من اساليب التحرش يؤثر على العين ومن قم يتلف العقل
152,dress,@ahm_mn قلت اللباس غير المحتشم من اسباب التحرش
153,men,@Ahmed_AboAish @KarShaf التحرش أصبح ظاهرة بمصر في زمن #الأخوان_الشياطين على جميع الفئات وذلك للإنفلات الأمني لا بسبب اللباس يبقى حرية شخصية
154,men,@Ahmed_Qatawneh @Raghadkf @AArabiyat511 ليش ببلاد الغرب التحرش اقل مع انه اللباس مش محتشم كثير؟؟؟؟؟ المفروض تفعيل القانون. وأي متحرش ينفضح
